SpotPositionMap_X,SpotPositionMap_Y,Spot_weights
-1.24345e-14,-5.329071e-15,0.0018
-5.934879,-5.329071e-15,0.0017
-11.86976,-5.329071e-15,0.0017
-17.80464,-5.329071e-15,0.0017
-23.73952,-5.329071e-15,0.0021
-29.67439,-5.329071e-15,0.0018
-35.60927,-5.329071e-15,0.0017
-41.54415,-5.329071e-15,0.0024
-47.47903,-5.329071e-15,0.0013
-53.41391,-5.329071e-15,0.0028
-59.34879,-5.329071e-15,0.0006
-56.38135,5.139756,0.003
-50.44647,5.139756,0.0014
-44.51159,5.139756,0.0018
-38.57671,5.139756,0.0021
-32.64183,5.139756,0.0016
-26.70695,5.139756,0.002
-20.77208,5.139756,0.0019
-14.8372,5.139756,0.0017
-8.902318,5.139756,0.0017
-2.967439,5.139756,0.0018
2.967439,5.139756,0.0018
8.902318,5.139756,0.0018
14.8372,5.139756,0.0018
20.77208,5.139756,0.0019
26.70695,5.139756,0.0018
32.64183,5.139756,0.0016
38.57671,5.139756,0.002
44.51159,5.139756,0.0018
50.44647,5.139756,0.0014
56.38135,5.139756,0.003
59.34879,10.27951,0.0005
53.41391,10.27951,0.0028
47.47903,10.27951,0.0013
41.54415,10.27951,0.0024
35.60927,10.27951,0.0018
29.67439,10.27951,0.0019
23.73952,10.27951,0.0021
17.80464,10.27951,0.0018
11.86976,10.27951,0.0017
5.934879,10.27951,0.0017
-1.24345e-14,10.27951,0.0017
-5.934879,10.27951,0.0017
-11.86976,10.27951,0.0017
-17.80464,10.27951,0.0018
-23.73952,10.27951,0.0022
-29.67439,10.27951,0.0019
-35.60927,10.27951,0.0018
-41.54415,10.27951,0.0025
-47.47903,10.27951,0.0014
-53.41391,10.27951,0.003
-59.34879,10.27951,0.0006
-56.38135,15.41927,0.0032
-50.44647,15.41927,0.0016
-44.51159,15.41927,0.002
-38.57671,15.41927,0.0022
-32.64183,15.41927,0.0017
-26.70695,15.41927,0.0023
-20.77208,15.41927,0.002
-14.8372,15.41927,0.0017
-8.902318,15.41927,0.0017
-2.967439,15.41927,0.0018
2.967439,15.41927,0.0018
8.902318,15.41927,0.0017
14.8372,15.41927,0.0018
20.77208,15.41927,0.0021
26.70695,15.41927,0.0022
32.64183,15.41927,0.0018
38.57671,15.41927,0.0023
44.51159,15.41927,0.0019
50.44647,15.41927,0.0014
56.38135,15.41927,0.003
59.34879,20.55902,0.0004
53.41391,20.55902,0.0023
47.47903,20.55902,0.0011
41.54415,20.55902,0.0022
35.60927,20.55902,0.0016
29.67439,20.55902,0.0018
23.73952,20.55902,0.0022
17.80464,20.55902,0.0019
11.86976,20.55902,0.0018
5.934879,20.55902,0.0017
-1.24345e-14,20.55902,0.0018
-5.934879,20.55902,0.0017
-11.86976,20.55902,0.0017
-17.80464,20.55902,0.0017
-23.73952,20.55902,0.0022
-29.67439,20.55902,0.0018
-35.60927,20.55902,0.0016
-41.54415,20.55902,0.0022
-47.47903,20.55902,0.0011
-53.41391,20.55902,0.0023
-59.34879,20.55902,0.0005
-56.38135,25.69878,0.0032
-50.44647,25.69878,0.0016
-44.51159,25.69878,0.0022
-38.57671,25.69878,0.0025
-32.64183,25.69878,0.0017
-26.70695,25.69878,0.0021
-20.77208,25.69878,0.002
-14.8372,25.69878,0.0018
-8.902318,25.69878,0.0019
-2.967439,25.69878,0.0018
2.967439,25.69878,0.0018
8.902318,25.69878,0.0018
14.8372,25.69878,0.0017
20.77208,25.69878,0.0019
26.70695,25.69878,0.002
32.64183,25.69878,0.0017
38.57671,25.69878,0.0025
44.51159,25.69878,0.0023
50.44647,25.69878,0.0017
56.38135,25.69878,0.0031
59.34879,30.83853,0.0005
53.41391,30.83853,0.0025
47.47903,30.83853,0.0012
41.54415,30.83853,0.0023
35.60927,30.83853,0.0017
29.67439,30.83853,0.0018
23.73952,30.83853,0.0019
17.80464,30.83853,0.0017
11.86976,30.83853,0.0019
5.934879,30.83853,0.0019
-1.24345e-14,30.83853,0.0018
-5.934879,30.83853,0.0019
-11.86976,30.83853,0.0019
-17.80464,30.83853,0.0017
-23.73952,30.83853,0.0019
-29.67439,30.83853,0.0018
-35.60927,30.83853,0.0017
-41.54415,30.83853,0.0023
-47.47903,30.83853,0.0012
-53.41391,30.83853,0.0026
-59.34879,30.83853,0.0005
-56.38135,35.97829,0.0029
-50.44647,35.97829,0.0013
-44.51159,35.97829,0.0016
-38.57671,35.97829,0.0015
-32.64183,35.97829,0.0016
-26.70695,35.97829,0.0022
-20.77208,35.97829,0.0017
-14.8372,35.97829,0.0018
-8.902318,35.97829,0.0019
-2.967439,35.97829,0.0018
2.967439,35.97829,0.0019
8.902318,35.97829,0.002
14.8372,35.97829,0.0018
20.77208,35.97829,0.0017
26.70695,35.97829,0.0021
32.64183,35.97829,0.0016
38.57671,35.97829,0.0015
44.51159,35.97829,0.0016
50.44647,35.97829,0.0012
56.38135,35.97829,0.0028
59.34879,41.11805,0.0006
53.41391,41.11805,0.003
47.47903,41.11805,0.002
41.54415,41.11805,0.0031
35.60927,41.11805,0.0016
29.67439,41.11805,0.0025
23.73952,41.11805,0.0024
17.80464,41.11805,0.0018
11.86976,41.11805,0.002
5.934879,41.11805,0.0019
-1.24345e-14,41.11805,0.0019
-5.934879,41.11805,0.0019
-11.86976,41.11805,0.002
-17.80464,41.11805,0.0019
-23.73952,41.11805,0.0025
-29.67439,41.11805,0.0026
-35.60927,41.11805,0.0016
-41.54415,41.11805,0.003
-47.47903,41.11805,0.002
-53.41391,41.11805,0.0029
-59.34879,41.11805,0.0007
-56.38135,46.2578,0.0026
-50.44647,46.2578,0.0005
-44.51159,46.2578,0.0019
-38.57671,46.2578,0.0016
-32.64183,46.2578,0.0011
-26.70695,46.2578,0.002
-20.77208,46.2578,0.0013
-14.8372,46.2578,0.0013
-8.902318,46.2578,0.0014
-2.967439,46.2578,0.0014
2.967439,46.2578,0.0014
8.902318,46.2578,0.0014
14.8372,46.2578,0.0015
20.77208,46.2578,0.0014
26.70695,46.2578,0.0019
32.64183,46.2578,0.0012
38.57671,46.2578,0.0017
44.51159,46.2578,0.002
50.44647,46.2578,0.0005
56.38135,46.2578,0.0026
59.34879,51.39756,0.0007
53.41391,51.39756,0.0034
47.47903,51.39756,0.001
41.54415,51.39756,0.003
35.60927,51.39756,0.0018
29.67439,51.39756,0.0026
23.73952,51.39756,0.0024
17.80464,51.39756,0.0021
11.86976,51.39756,0.0024
5.934879,51.39756,0.0022
-1.24345e-14,51.39756,0.0023
-5.934879,51.39756,0.0023
-11.86976,51.39756,0.0024
-17.80464,51.39756,0.0021
-23.73952,51.39756,0.0025
-29.67439,51.39756,0.0025
-35.60927,51.39756,0.0017
-41.54415,51.39756,0.0029
-47.47903,51.39756,0.001
-53.41391,51.39756,0.0034
-59.34879,51.39756,0.0008
-56.38135,56.53731,0.0019
-50.44647,56.53731,0.002
-44.51159,56.53731,0.0019
-38.57671,56.53731,0.002
-32.64183,56.53731,0.0017
-26.70695,56.53731,0.0021
-20.77208,56.53731,0.0018
-14.8372,56.53731,0.0019
-8.902318,56.53731,0.0018
-2.967439,56.53731,0.0018
2.967439,56.53731,0.0018
8.902318,56.53731,0.0018
14.8372,56.53731,0.0018
20.77208,56.53731,0.0018
26.70695,56.53731,0.002
32.64183,56.53731,0.0018
38.57671,56.53731,0.002
44.51159,56.53731,0.002
50.44647,56.53731,0.002
56.38135,56.53731,0.002
